1 哥哥 9520.0 3000.0 3500.0 6000.0 22020.0 4130.0 17890.0
2 美国队长 6000.0 3000.0 3000.0 60000.0 72000.0 18825.0 53175.0
3 不要 200.0 300.0 600.0 30000.0 31100.0 6400.0 24700.0
4 宝宝 5000.0 6000.0 3000.0 3000.0 17000.0 3025.0 13975.0
5 梁哥 5000.0 3000.0 60000.0 20000.0 88000.0 24825.0 63175.0
6 杨曦 8000.0 6000.0 3000.0 60000.0 77000.0 20575.0 56425.0
7 良药宁 600.0 6000.0 60000.0 6300.0 72900.0 19140.0 53760.0
8 两国 6222.0 3000.0 6000.0 30000.0 45222.0 10191.6 35030.4
9 脾气 6200.0 3000.0 1000.0 2000.0 12200.0 2065.0 10135.0
10 爸爸 3000.0 8566.0 3225.0 48484.0 63275.0 15771.3 47503.8
11 林书豪 6800.0 3000.0 6200.0 5000.0 21000.0 3875.0 17125.0
12 泡泡 6200.0 3000.0 1000.0 4200.0 14400.0 2505.0 11895.0
13 钢铁侠 30000.0 95200.0 3000.0 52000.0 180200.0 65715.0 114485.0
14 黑寡妇 95200.0 62000.0 4200.0 3000.0 164400.0 58605.0 105795.0
15 快银 4200.0 3000.0 6200.0 5200.0 18600.0 3345.0 15255.0
16 战争机器 94200.0 3000.0 6000.0 5000.0 108200.0 33315.0 74885.0
17 闭龙塘 84200.0 6200.0 3000.0  62.0 93462.0 27009.8 66452.2
18 李瑞丽 8426.0 6200.0 5200.0 100.0 19926.0 3610.2 16315.8
19 陈欢成 9460.0 6200.0 2000.0 30000.0 47660.0 10923.0 36737.0
20 李瑞林 6200.0 3000.0 6000.0 30000.0 45200.0 10185.0 35015.0
21 袁迦华 6200.0 3000.0 30030.0 3000.0 42230.0 9294.0 32936.0
22 梁耀女 3400.0 2000.0 6000.0 1000.0 12400.0 2105.0 10295.0
23 乔丹 6200.0 3030.0 300.0 300.0 9830.0 1591.0 8239.0
24 骑士 300.0 6200.0 300.0 400.0 7200.0 1065.0 6135.0
25 勇士 900.0 600.0 300.0 4200.0 6000.0 825.0 5175.0
26 森林狼 630.0 100.0 5200.0 600.0 6530.0 931.0 5599.0
27 鹈鹕 630.0 300.0 400.0 500.0 1830.0 158.0 1672.0
28 开拓者 620.0 300.0 400.0 3000.0 4320.0 523.0 3797.0
29 皇家马德里 100.0 6200.0 30000.0 60000.0 96300.0 28145.0 68155.0
30 曼联 600.0 3000.0 6000.0 3000.0 12600.0 2145.0 10455.0
31 阿森纳 600.0 300.0 4500.0 9500.0 14900.0 2605.0 12295.0
32 中央陆军 6300.0 5200.0 3000.0 4000.0 18500.0 3325.0 15175.0
33 拜仁 6300.0 3000.0 400.0 3000.0 12700.0 2165.0 10535.0
34 欧尼酱 680.0 300.0 6200.0 3000.0 10180.0 1661.0 8519.0
35 比龙头 6900.0 3000.0 6100.0 300.0 16300.0 2885.0 13415.0
36 拉齐奥 500.0 3000.0 6200.0 1000.0 10700.0 1765.0 8935.0
37 Daddy 5000.0 60000.0 900.0 6000.0 71900.0 18790.0 53110.0
38 Brother 63000.0 3000.0 300.0 6200.0 72500.0 19000.0 53500.0
39 Mammy 6300.0 3000.0 8200.0 4000.0 21500.0 4000.0 17500.0
40 吴迪   6.0 8000.0 6000.0 40000.0 54006.0 12826.8 41179.2
41 程磊 9200.0 3000.0 6000.0 3000.0 21200.0 3925.0 17275.0
42 野芷湖 6200.0 300.0 6400.0 3000.0 15900.0 2805.0 13095.0
43 蜡笔小新 6000.0 300.0 500.0 3000.0 9800.0 1585.0 8215.0
44 路飞 6300.0 6000.0 3000.0 400.0 15700.0 2765.0 12935.0
45 娜美 489200.0 300.0 500.0 4000.0 494000.0 206925.0 287075.0
46 乌索普 94200.0 3000.0 5000.0 3000.0 105200.0 31965.0 73235.0
47 漩涡鸣人 6200.0 3000.0 6400.0 1000.0 16600.0 2945.0 13655.0
48 Naruto 900.0 3000.0 62000.0 300.0 66200.0 16795.0 49405.0
49 MK14 9630.0 300.0 400.0 6000.0 16330.0 2891.0 13439.0
50 AKM 96300.0 300.0 500.0 300.0 97400.0 28585.0 68815.0
51 Mini14 6200.0 3000.0 6980.0 4000.0 20180.0 3670.0 16510.0
